epoch,train_loss,train_acc,test_loss,test_acc
0,5.524178531321157,4.06412282682321,4.941487683022973,10.734017363851619
1,4.33486262636062,22.35267554752766,3.9204858235703175,25.25651144435675
2,3.235322438612779,47.12124633100023,3.229868761460049,41.91002367797948
3,2.3265619022255692,68.16437118988486,2.8281181543571514,49.4869771112865
4,1.6113294435424874,82.54685030480921,2.2219050030305616,61.720599842146804
5,1.0548798945612767,92.00722510724768,1.8693714966055155,66.21941594317285
6,0.6608229177104186,96.63580943779634,1.7607625143304055,68.90292028413575
7,0.40705484832132555,98.80334161210206,1.4682318223397752,73.55958958168904
8,0.25634819437402934,99.50327387672161,1.3711900340353493,76.63772691397
9,0.16900649543647223,99.84195077895689,1.2962949462264377,78.29518547750592
10,0.1212038832308073,99.81937231880785,1.1903997194889313,79.47908445146015
11,0.08814284315790756,99.93226461955295,1.1311013126994272,79.40015785319653
12,0.07289497958709436,99.95484307970196,1.1122014728604854,79.7947908445146
13,0.05856216646483613,99.95484307970196,1.0731822660144332,80.42620363062352
14,0.05033847514508836,99.95484307970196,1.0544218261503477,81.3733228097869
15,0.042928612775230926,99.95484307970196,1.0439962344369083,81.21546961325967
16,0.03794837111620231,99.97742153985098,1.0327764209462793,80.50513022888714
17,0.03275203980803221,99.97742153985098,1.015022342611507,81.45224940805052
18,0.030486346561218604,99.95484307970196,1.010611153909703,80.66298342541437
19,0.027436126249790405,100.0,1.0020605949030772,80.97868981846882
20,0.025492811572588064,99.97742153985098,0.9852123764808853,81.05761641673243
21,0.024028241959459143,99.97742153985098,0.9849931209597328,81.61010260457773
22,0.022190854452982745,99.97742153985098,0.9726300650726836,81.9258089976322
23,0.021025791922809175,99.97742153985098,0.9692195702841081,82.08366219415943
24,0.01980914928601097,99.97742153985098,0.9730608109987525,81.9258089976322
